Job Title,Company Name,Location,Experience Level,Industry,No of Applications,Domain,AI_Impact_Category
Business Analyst,Pepper,"Mumbai, Maharashtra, India",Associate,Internet Marketplace Platforms,200,Software Developer,Low AI Impact
Associate - Technology Consulting,PwC India,"Mumbai, Maharashtra, India",Associate,Business Consulting and Services,200,Software Developer,Low AI Impact
Curriculum Project Manager,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,200,Software Developer,Low AI Impact
Project Manager,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,200,Software Developer,Low AI Impact
Assistant Manager,Deloitte,"Mumbai, Maharashtra, India",Associate,Business Consulting and Services,200,Software Developer,Low AI Impact
Associate,PwC India,"Mumbai, Maharashtra, India",Associate,Business Consulting and Services,131,Software Developer,Low AI Impact
Business Development | International sales | HYD,Varun Digital Media,"Hyderabad, Telangana, India",Associate,Marketing Services,156,Software Developer,Low AI Impact
Technical Recruiter,NxtWave,"Hyderabad, Telangana, India",Associate,E-Learning Providers,200,Software Developer,AI Adoption Affected
Business Analyst,Tata Consultancy Services,"Mumbai, Maharashtra, India",Associate,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Production Assistant,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,63,Software Developer,Low AI Impact
Academic Operation Associate,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,200,Software Developer,Low AI Impact
Associate,PwC India,"Hyderabad, Telangana, India",Associate,Business Consulting and Services,200,Software Developer,Low AI Impact
Curriculum Operations Associate - Product,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,73,Software Developer,Low AI Impact
Sales Executive,Curefit,"Mumbai, Maharashtra, India",Associate,Wellness and Fitness Services,81,Software Developer,Low AI Impact
Project Sales Engineer,Pidilite Industries Limited,"Hyderabad, Telangana, India",Associate,Wholesale Building Materials,74,Software Developer,Low AI Impact
Quality Engineer,Adani Defence and Aerospace,"Hyderabad, Telangana, India",Associate,Defense and Space Manufacturing,200,Software Developer,Low AI Impact
Category Manager,Urban Company,"Mumbai, Maharashtra, India",Associate,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Front Office Executive,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,200,Software Developer,Low AI Impact
Associate,PwC India,"Mumbai, Maharashtra, India",Associate,Business Consulting and Services,73,Software Developer,Low AI Impact
Project Sales Specialist,Pidilite Industries Limited,"Hyderabad, Telangana, India",Associate,Wholesale Building Materials,200,Software Developer,Low AI Impact
Recruiter - Technology Services,BDO India,"Mumbai, Maharashtra, India",Associate,Accounting,200,Software Developer,Low AI Impact
University Operation Associate,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,88,Software Developer,Low AI Impact
Associate,PwC India,"Mumbai, Maharashtra, India",Associate,Business Consulting and Services,200,Software Developer,Low AI Impact
Video Editor,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,33,Software Developer,Low AI Impact
Python Developer,Sonata Software,"Hyderabad, Telangana, India",Associate,Banking,200,Software Developer,Automation Affected
Assistant Manager - CRM Retention,Tata CLiQ Fashion,"Mumbai, Maharashtra, India",Associate,Internet Marketplace Platforms,200,Software Developer,Low AI Impact
Assistant Manager - Finance & Accounts,Godrej Agrovet Limited,"Mumbai, Maharashtra, India",Associate,Chemical Manufacturing,200,Software Developer,Automation Affected
Curriculum Operations Associate - Academics,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,144,Software Developer,Low AI Impact
Executive - Talent Development,TotalEnergies,"Mumbai, Maharashtra, India",Associate,"Oil and Gas, Mining, and Textile Manufacturing",200,Software Developer,Low AI Impact
Software Engineer,Flipkart,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Product Manager,LinkedIn,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,AI Adoption Affected
Software Engineer,Ola,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Aerothermal Engineer,Rolls-Royce,"Bengaluru, Karnataka, India",Mid-Senior level,Defense and Space Manufacturing,200,Software Developer,Low AI Impact
Product Manager,LinkedIn,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Product Operations Manager,LinkedIn,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Python Developer,KPMG India,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,Software Developer,Automation Affected
Mergers and Acquisitions,Deloitte,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,200,Software Developer,Low AI Impact
Full Stack Developer,Volvo Car Manufacturing Malaysia,"Bengaluru, Karnataka, India",Mid-Senior level,Motor Vehicle Manufacturing,70,Software Developer,Low AI Impact
Back End Developer,HDFC securities,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,200,Software Developer,Low AI Impact
Backend (Python/Django),Capgemini,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Senior Software Engineer - Web,LinkedIn,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Java Software Engineer,HDFC Bank,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Automation Affected
Python Developer,Infrrd,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,116,Software Developer,AI Adoption Affected
Python fullstack developer,KPMG India,"Bengaluru, Karnataka, India",Mid-Senior level,Business Consulting and Services,200,Software Developer,Low AI Impact
Software Development Engineer III,Flipkart,"Bengaluru, Karnataka, India",Mid-Senior level,"Internet Marketplace Platforms, Technology, Information and Media, and Technology, Information and Internet",200,Software Developer,Low AI Impact
Python Developer,Kotak Mahindra Bank,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,Software Developer,Automation Affected
Backend Developer,Twixor,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,75,Software Developer,Automation Affected
React JS,LTIMindtree,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
AI Full Stack Developer,KPMG India,"Bengaluru, Karnataka, India",Mid-Senior level,Business Consulting and Services,200,Software Developer,AI Adoption Affected
Backend - SDE- I,GrowthSchool,"Bengaluru, Karnataka, India",Mid-Senior level,E-Learning Providers,200,Software Developer,AI Adoption Affected
Python Developer,PwC India,"Bengaluru, Karnataka, India",Mid-Senior level,Business Consulting and Services,200,Software Developer,Low AI Impact
Product Analyst,Ola Electric,"Bengaluru, Karnataka, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,Software Developer,Low AI Impact
Full Stack Engineer,Tata Elxsi,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,68,Software Developer,Low AI Impact
"Senior Associate, Support Operations Planning",LinkedIn,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Area Manager - Affluent,Kotak Mahindra Bank,"Bengaluru, Karnataka, India",Mid-Senior level,Banking,200,Software Developer,Low AI Impact
Frontend Developer,Flipkart,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Social Media Manager,Curefit,"Bengaluru, Karnataka, India",Mid-Senior level,Wellness and Fitness Services,200,Software Developer,Low AI Impact
Product Manager,LinkedIn,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,AI Adoption Affected
Python Developer,In Time Tec,"Bengaluru, Karnataka, India",Mid-Senior level,Pharmaceutical Manufacturing,200,Software Developer,Low AI Impact
Associate - Marketing,Meesho,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Automation Affected
"Software Engineer, Batch Compute",Stripe,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,77,Software Developer,Low AI Impact
"Manager, Software Engineering",LinkedIn,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Senior Analyst,Curefit,"Bengaluru, Karnataka, India",Mid-Senior level,Wellness and Fitness Services,200,Software Developer,AI Adoption Affected
Business Associate (Analytics),Swiggy,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Deputy Manager- MEP,Tata Housing Development Company Limited,"Bengaluru, Karnataka, India",Mid-Senior level,Real Estate,200,Software Developer,Low AI Impact
Software Engineer - Web Application Development,Cisco,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,119,Software Developer,AI Adoption Affected
Product Manager B2C,MakeMyTrip,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Dotnet Developer,Deloitte,"Bengaluru, Karnataka, India",Mid-Senior level,Business Consulting and Services,200,Software Developer,AI Adoption Affected
React JS Front-end developer - SC - 1,Capco,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,200,Software Developer,Low AI Impact
Junior Software Development Engineer,Autonomize AI,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Manager- Training & Quality,Swiggy,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Low AI Impact
Data Scientist,PhonePe,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,200,Software Developer,AI Adoption Affected
HDFC Securities - Backend Developer - Java/Golang,HDFC securities,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",47,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,131,Software Developer,Low AI Impact
Full Stack Software Developer,Cisco,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,Software Developer,Automation Affected
Senior Business Analyst,Swiggy,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,Automation Affected
Research Analyst,Mastek,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Automation Affected
Senior Software Engineer I (Backend),MakeMyTrip,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",200,Software Developer,AI Adoption Affected
Assistant Manager & Consultant- Internal Audit,KPMG India,"Bengaluru, Karnataka, India",Mid-Senior level,Banking,200,Software Developer,Low AI Impact
HDFC Securities - Mobile Application Developer - iOS &amp; Android Platform,HDFC securities,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,64,Software Developer,Low AI Impact
Purchase Manager-Dairy,Britannia Industries Limited,"Bengaluru, Karnataka, India",Mid-Senior level,Manufacturing,200,Software Developer,Automation Affected
Software Engineer,Cisco,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,49,Software Developer,Automation Affected
Python Developer,Natobotics,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,95,Software Developer,Low AI Impact
C++ Python Developer,Capgemini,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Python,Deloitte,"Bengaluru, Karnataka, India",Mid-Senior level,Business Consulting and Services,200,Software Developer,Low AI Impact
Python Developer,Persistent Systems,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Development Engineer - I,NxtWave,"Hyderabad, Telangana, India",Mid-Senior level,Education Administration Programs,200,Software Developer,Low AI Impact
"Full Stack Developer, Software Development",Ryan,"Hyderabad, Telangana, India",Mid-Senior level,Financial Services,200,Software Developer,Low AI Impact
Software Engineer,Notion,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Automation Affected
Applications Developer 1,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Backend Developer - Offshore,techcarrot,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,64,Software Developer,Low AI Impact
React Developer,QUADRANTECH PVT. LTD.,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Engineer II - Backend,Redpin,"Hyderabad, Telangana, India",Mid-Senior level,Financial Services,200,Software Developer,Low AI Impact
Software Engineer II - Backend,Redpin,"Hyderabad, Telangana, India",Mid-Senior level,Financial Services,111,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,73,Software Developer,Low AI Impact
Software Development Engineer - II,NxtWave,"Hyderabad, Telangana, India",Mid-Senior level,Education Administration Programs,25,Software Developer,Low AI Impact
React Developer (Freshers),ESB Technologies,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Frontend Developer,Persistent Systems,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Automation Affected
Software Developer 2,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,147,Software Developer,Low AI Impact
Software Engineer,Blue Spire Inc,"Hyderabad, Telangana, India",Mid-Senior level,Financial Services,200,Software Developer,Low AI Impact
Frontend Developer,Cognisol,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Engineer II - Front End,Fanatics,"Hyderabad, Telangana, India",Mid-Senior level,"Technology, Information and Internet",58,Software Developer,AI Adoption Affected
Software Development Engineer - II,NxtWave,"Hyderabad, Telangana, India",Mid-Senior level,Education Administration Programs,84,Software Developer,Low AI Impact
Software Developer 3,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,100,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,95,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,154,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Web Developer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Python Fullstack Engineer - Remote Work,BairesDev,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,73,Software Developer,Low AI Impact
Software Engineer,ServiceNow,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Automation Affected
Java Software Engineer,LTIMindtree,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Engineer,IBM,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,AI Adoption Affected
Back End Developer,Cognizant,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,AI Adoption Affected
C++ Developer,Persistent Systems,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Python Developer,Artmac,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,176,Software Developer,Low AI Impact
Python Senior Developer,Infosys,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,103,Software Developer,Low AI Impact
Software Engineer Backend,Electronic Arts (EA),"Hyderabad, Telangana, India",Mid-Senior level,Entertainment Providers,200,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,196,Software Developer,Low AI Impact
Software AI Engineer,Teradata,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,AI Adoption Affected
Web Developer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,AI Adoption Affected
Web Developer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Software AI Engineer,Teradata,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,AI Adoption Affected
C Developer,Tata Consultancy Services,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,173,Software Developer,Low AI Impact
Web Developer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,153,Software Developer,Low AI Impact
Javascript Developer - Remote Work,BairesDev,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,127,Software Developer,Automation Affected
Software Engineer,Gap Inc.,"Hyderabad, Telangana, India",Mid-Senior level,Retail ,200,Software Developer,Automation Affected
"SDE - II, Stores TA",Amazon,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,143,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,135,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Software Development Engineer - II,Amazon,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Data Engineer III [T500-19720],McDonald's,"Hyderabad, Telangana, India",Mid-Senior level,Restaurants,200,Software Developer,Low AI Impact
AI Content Developer,NxtWave,"Hyderabad, Telangana, India",Mid-Senior level,Education Administration Programs,70,Software Developer,AI Adoption Affected
Software Engineer,Teradata,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Software Developer 3,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Hyderabad, Telangana, India",Mid-Senior level,Software Development,138,Software Developer,AI Adoption Affected
Technical Content Developer – Deep Learning & AI,NxtWave,"Hyderabad, Telangana, India",Mid-Senior level,Education Administration Programs,36,Software Developer,AI Adoption Affected
Software Developer 3,Oracle,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,130,Software Developer,Automation Affected
Interesting Job Opportunity: AWS Data Engineer - Python/PySpark,Deqode,"Hyderabad, Telangana, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",34,Software Developer,Low AI Impact
React Native Developer,Capgemini,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Data Science Engineer,PepsiCo,"Hyderabad, Telangana, India",Mid-Senior level,Food and Beverage Services,200,Software Developer,AI Adoption Affected
Applications Developer 1,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Python Developer,Cognizant,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Automation Affected
AI / ML Lead,Tata Technologies,"Chennai, Tamil Nadu, India",Mid-Senior level,Engineering Services,200,Software Developer,AI Adoption Affected
ReactJS T2 Chennai,Virtusa,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,63,Software Developer,Low AI Impact
Python,Tata Consultancy Services,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,105,Software Developer,Low AI Impact
Web Developer,Accenture in India,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Python Senior Developer,Infosys,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,58,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
ReactJS developers - GO/JC/1499/2025,Golden Opportunities,"Chennai, Tamil Nadu, India",Mid-Senior level,Staffing and Recruiting,200,Software Developer,Low AI Impact
Python Developer,Amicon Hub Services,"Chennai, Tamil Nadu, India",Mid-Senior level,Hospitals and Health Care,200,Software Developer,AI Adoption Affected
Full Stack Developer,Roanuz,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,25,Software Developer,Low AI Impact
Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,121,Software Developer,Low AI Impact
Javascript Developer - Remote Work,BairesDev,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,63,Software Developer,Automation Affected
Software Developer 2,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,27,Software Developer,Low AI Impact
Backend Developer,Twixor,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,58,Software Developer,Automation Affected
Member of Technical Staff (IC2),Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,25,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Python Fullstack Engineer - Remote Work,BairesDev,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,77,Software Developer,Low AI Impact
Web Developer,Accenture in India,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,200,Software Developer,Low AI Impact
Full Stack Developer,IDFC FIRST Bank,"Chennai, Tamil Nadu, India",Mid-Senior level,Banking,200,Software Developer,Low AI Impact
Web Developer,Accenture in India,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,63,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,43,Software Developer,Low AI Impact
Frontend Developer,Rapyuta Robotics,"Chennai, Tamil Nadu, India",Mid-Senior level,Automation Machinery Manufacturing,200,Software Developer,Low AI Impact
REACT JS,Tata Consultancy Services,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,64,Software Developer,Low AI Impact
Frontend Developer,Marlow Navigation India,"Chennai, Tamil Nadu, India",Mid-Senior level,"Maritime Transportation, Transportation, Logistics, Supply Chain and Storage, and Software Development",200,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,93,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,80,Software Developer,Low AI Impact
Software Developer 2,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,61,Software Developer,Low AI Impact
Frontend Developer,loanDNA,"Chennai, Tamil Nadu, India",Mid-Senior level,Financial Services,200,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,151,Software Developer,Low AI Impact
.Net Backend Developer,Tata Technologies,"Chennai, Tamil Nadu, India",Mid-Senior level,Engineering Services,200,Software Developer,Automation Affected
Developer,IDFC FIRST Bank,"Chennai, Tamil Nadu, India",Mid-Senior level,Banking,200,Software Developer,Low AI Impact
"Full Stack Developer - Chennai, India",acxhange,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Web Developer,Accenture in India,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,60,Software Developer,Low AI Impact
Web Developer,Accenture in India,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,69,Software Developer,Low AI Impact
Software Development Engineer,Amazon,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,47,Software Developer,Low AI Impact
 Software Developer Engineer ,IDFC FIRST Bank,"Chennai, Tamil Nadu, India",Mid-Senior level,Banking,200,Software Developer,Automation Affected
Back End Developer,Populus Empowerment Network,"Chennai, Tamil Nadu, India",Mid-Senior level,Business Consulting and Services,200,Software Developer,Low AI Impact
Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,146,Software Developer,Automation Affected
Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,72,Software Developer,Automation Affected
Software Programmer,INNOPPL IT SERVICES,"Chennai, Tamil Nadu, India",Mid-Senior level,"Technology, Information and Internet",129,Software Developer,Low AI Impact
Full Stack Engineer - Python,Hexaware Technologies,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Java Developer,BNP Paribas,"Chennai, Tamil Nadu, India",Mid-Senior level,Banking,200,Software Developer,Low AI Impact
Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,44,Software Developer,Low AI Impact
React Developers,HTC Global Services,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
React Developer,"CaliberFocus, Inc","Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,25,Software Developer,Low AI Impact
Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,25,Software Developer,Low AI Impact
Frontend Developer,Hexaware Technologies,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
Software Developer 4,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,47,Software Developer,Low AI Impact
Lead Python Developer,Virtual Connect Solutions,"Chennai, Tamil Nadu, India",Mid-Senior level,Outsourcing and Offshoring Consulting,25,Software Developer,Low AI Impact
C# & .NET Developer,Siemens,"Chennai, Tamil Nadu, India",Mid-Senior level,Automation Machinery Manufacturing,200,Software Developer,Low AI Impact
Oracle Techno Functional Tester  INDIA Remote,Kovan Technology Solutions,"Chennai, Tamil Nadu, India",Mid-Senior level,Software Development,41,Software Developer,Automation Affected
Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,25,Software Developer,Low AI Impact
Software Engineer,Capgemini,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Software Developer,Low AI Impact
"Software Engineer - C++, Python",Capgemini,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,159,Software Developer,Low AI Impact
Software Engineer I,Cummins India,"Pune, Maharashtra, India",Mid-Senior level,Manufacturing,200,Software Developer,Low AI Impact
Software Developer (C#),Emerson,"Pune, Maharashtra, India",Mid-Senior level,Automation Machinery Manufacturing,200,Software Developer,Automation Affected
Python-Entwickler (m/w/d),Deutsche Telekom,"Pune, Maharashtra, India",Mid-Senior level,Telecommunications,50,Software Developer,AI Adoption Affected
Full-Stack Developer (AI-Driven Systems),Spiralyze,"Pune, Maharashtra, India",Mid-Senior level,Marketing Services,104,Software Developer,AI Adoption Affected
